x,sin_x,ann_x
3.85,0.988168,0.0471884
3.875,0.994599,0.0472024
3.9,0.998543,0.0472112
3.925,0.999992,0.0472148
3.95,0.998941,0.0472132
3.975,0.995394,0.0472064
4,0.989358,0.0471943
4.025,0.98085,0.0471769
4.05,0.96989,0.0471542
4.075,0.956506,0.0471262
4.1,0.940731,0.0470929
4.125,0.922604,0.0470543
4.15,0.902172,0.0470103
4.175,0.879484,0.0469609
4.2,0.854599,0.0469061
4.225,0.827577,0.0468459
4.25,0.798487,0.0467803
4.275,0.767401,0.0467092
4.3,0.734397,0.0466327
4.325,0.699557,0.0465508
4.35,0.662969,0.0464633
4.375,0.624724,0.0463704
4.4,0.584917,0.0462719
4.425,0.543648,0.0461679
4.45,0.501021,0.0460584
4.475,0.457141,0.0459433
4.5,0.412118,0.0458226
4.525,0.366066,0.0456964
4.55,0.319098,0.0455646
4.575,0.271333,0.0454272
4.6,0.22289,0.0452842
4.625,0.173889,0.0451355
4.65,0.124454,0.0449812
4.675,0.0747083,0.0448212
4.7,0.0247754,0.0446556
4.725,-0.0252194,0.0444843
4.75,-0.0751511,0.0443073
4.775,-0.124895,0.0441247
4.8,-0.174327,0.0439363
4.825,-0.223323,0.0437422
4.85,-0.271761,0.0435424
4.875,-0.319519,0.0433368
4.9,-0.366479,0.0431255
4.925,-0.412523,0.0429085
4.95,-0.457536,0.0426857
4.975,-0.501405,0.0424571
5,-0.544021,0.0422227
5.025,-0.585277,0.0419826
5.05,-0.625071,0.0417366
5.075,-0.663302,0.0414849
5.1,-0.699875,0.0412273
5.125,-0.734698,0.0409639
5.15,-0.767686,0.0406947
5.175,-0.798754,0.0404196
5.2,-0.827826,0.0401388
5.225,-0.854829,0.039852
5.25,-0.879696,0.0395594
5.275,-0.902363,0.039261
5.3,-0.922775,0.0389567
5.325,-0.940881,0.0386465
5.35,-0.956635,0.0383304
5.375,-0.969998,0.0380085
5.4,-0.980936,0.0376806
5.425,-0.989423,0.0373469
5.45,-0.995436,0.0370073
5.475,-0.998962,0.0366618
5.5,-0.99999,0.0363103
5.525,-0.998519,0.035953
5.55,-0.994553,0.0355897
5.575,-0.9881,0.0352206
5.6,-0.979178,0.0348455
5.625,-0.967808,0.0344645
5.65,-0.954019,0.0340776
5.675,-0.937846,0.0336847
5.7,-0.919329,0.0332859
5.725,-0.898513,0.0328812
5.75,-0.875452,0.0324705
5.775,-0.850203,0.0320539
5.8,-0.822829,0.0316314
5.825,-0.793398,0.0312029
5.85,-0.761984,0.0307685
5.875,-0.728665,0.0303281
5.9,-0.693525,0.0298818
5.925,-0.656652,0.0294295
5.95,-0.618137,0.0289713
5.975,-0.578077,0.0285072
6,-0.536573,0.0280371
6.025,-0.493727,0.0275611
6.05,-0.449647,0.0270791
6.075,-0.404444,0.0265912
6.1,-0.358229,0.0260973
6.125,-0.311119,0.0255975
6.15,-0.263232,0.0250917
6.175,-0.214686,0.02458
6.2,-0.165604,0.0240624
6.225,-0.116108,0.0235388
6.25,-0.0663219,0.0230093
6.275,-0.0163699,0.0224739
6.3,0.033623,0.0219325
6.325,0.0835319,0.0213852
6.35,0.133232,0.0208319
6.375,0.182599,0.0202728
6.4,0.23151,0.0197077
6.425,0.279842,0.0191367
6.45,0.327474,0.0185598
6.475,0.374289,0.0179769
6.5,0.420167,0.0173882
6.525,0.464995,0.0167936
6.55,0.508661,0.016193
6.575,0.551056,0.0155866
6.6,0.592074,0.0149742
6.625,0.631611,0.014356
6.65,0.66957,0.0137319
6.675,0.705855,0.0131019
6.7,0.740376,0.012466
6.725,0.773046,0.0118243
6.75,0.803784,0.0111767
6.775,0.832514,0.0105233
6.8,0.859162,0.00986394
6.825,0.883663,0.00919879
6.85,0.905955,0.00852779
6.875,0.925982,0.00785095
6.9,0.943696,0.00716828
6.925,0.95905,0.00647979
6.95,0.972008,0.00578549
6.975,0.982535,0.00508537
7,0.990607,0.00437945
7.025,0.996203,0.00366773
7.05,0.999309,0.00295022
7.075,0.999918,0.00222693
7.1,0.998027,0.00149786
7.125,0.993641,0.000763031
7.15,0.986772,2.24372e-05
7.175,0.977436,-0.000723909
7.2,0.965658,-0.001476
7.225,0.951466,-0.00223383
7.25,0.934895,-0.00299738
7.275,0.915988,-0.00376666
7.3,0.894791,-0.00454164
7.325,0.871358,-0.00532233
7.35,0.845747,-0.00610872
7.375,0.818022,-0.00690078
7.4,0.788252,-0.00769853
7.425,0.756512,-0.00850194
7.45,0.722881,-0.00931101
7.475,0.687444,-0.0101257
7.5,0.650288,-0.0109461
7.525,0.611507,-0.0117721
7.55,0.571197,-0.0126037
7.575,0.529459,-0.0134409
7.6,0.486399,-0.0142837
7.625,0.442122,-0.0151321
7.65,0.396741,-0.0159861
7.675,0.350367,-0.0168456
7.7,0.303118,-0.0177108
7.725,0.255112,-0.0185814
7.75,0.206467,-0.0194576
7.775,0.157307,-0.0203393
7.8,0.107754,-0.0212266
7.825,0.0579308,-0.0221193
7.85,0.00796318,-0.0230175
7.875,-0.0420244,-0.0239213
7.9,-0.0919069,-0.0248304
7.925,-0.14156,-0.0257451
7.95,-0.190859,-0.0266652
7.975,-0.23968,-0.0275907
8,-0.287903,-0.0285217
8.025,-0.335407,-0.029458
8.05,-0.382071,-0.0303998
8.075,-0.427781,-0.0313469
8.1,-0.472422,-0.0322995
8.125,-0.515882,-0.0332573
8.15,-0.558052,-0.0342206
8.175,-0.598828,-0.0351892
8.2,-0.638107,-0.0361631
8.225,-0.675791,-0.0371423
8.25,-0.711785,-0.0381268
8.275,-0.746001,-0.0391166
8.3,-0.778352,-0.0401117
8.325,-0.808758,-0.041112
8.35,-0.837142,-0.0421176
8.375,-0.863433,-0.0431284
8.4,-0.887567,-0.0441444
8.425,-0.909482,-0.0451657
8.45,-0.929124,-0.0461921
8.475,-0.946444,-0.0472238
8.5,-0.961397,-0.0482606
8.525,-0.973948,-0.0493025
8.55,-0.984065,-0.0503496
8.575,-0.991722,-0.0514018
8.6,-0.9969,-0.0524591
8.625,-0.999586,-0.0535215
8.65,-0.999774,-0.054589
8.675,-0.997463,-0.0556616
8.7,-0.992659,-0.0567392
8.725,-0.985374,-0.0578219
8.75,-0.975626,-0.0589096
8.775,-0.963439,-0.0600023
8.8,-0.948844,-0.0611
8.825,-0.931878,-0.0622027
8.85,-0.912582,-0.0633104
